ID,Problem,Answer
0,$2^{20} \times 3^{10} \times 5^{8}$ সংখ্যাটির কতগুলো পূর্ণ ঘন উৎপাদক আছে?,84
1,"মহাজাগতিক কুইডিচ 26 জন খেলতে পারে, প্রতি দলে 13 জন। এদের অর্ধেক লাল এবং বাকি অর্ধেক কালো। তাদের প্রত্যেকে স্পেসশিপ ব্যবহার করে, যা 1 থেকে 26 পর্যন্ত সংখ্যাযুক্ত। একটি ম্যাচে 3 জন আহত হয়। তাদের স্পেসশিপ নম্বরের যোগফল 39 এবং সবার লাল দলের হওয়ার সম্ভাবনা $\frac{a}{b}$ হলে, $a + b$ এর মান নির্ণয় করো। (যেখানে $a$, $b$ পরস্পর সহমৌলিক)",803
2,"অন্তপুর একটি বিশাল এলাকা। সেখানে পানির ট্যাঙ্কের মাধ্যমে পানি সরবরাহ করা হয়। এলাকার মাঝে একটি বড় ট্যাঙ্ক আছে, বাকিগুলো ছোট। বড় ট্যাঙ্ক থেকে শুরু করে ছোট ট্যাঙ্ক, সেগুলো থেকে অন্য ট্যাঙ্ক - এভাবে ক্রমান্বয়ে পানি সরবরাহ হয়। সিস্টেমটি এমনভাবে সাজানো হয়েছে যেন একটি ট্যাঙ্কে (বড় ট্যাঙ্ক বাদে) শুধু অন্য একটি ট্যাঙ্ক থেকেই পানি আসে; আর একটি ট্যাঙ্ক হয় অন্য 7 টি ট্যাঙ্কে পানি সরবরাহ করে, নাহয় কাউকেই করেনা। এলাকায় মোট 2024 টি ট্যাঙ্ক থাকলে, এমন কয়টি ট্যাঙ্ক আছে যেগুলো পানি সরবরাহ করে না?",289
3,"দুইটি ধনাত্মক পূর্ণসংখ্যার গুণফল 15, সংখ্যা দুইটির গ.সা.গু 1 হলে, সংখ্যা দুইটির ল.সা.গু নির্ণয় কর।",15
4,"$p$ এবং $q$ এমন দুইটি মৌলিক সংখ্যা যেন, $p^3 + 1 = q^2$ হয়। $p + q$ এর মান নির্ণয় করো।",5
5,নিলয় তার ব্যাগে 100 টি পেন্সিল অথবা 120 টি কলম রাখতে পারে। সে তার ব্যাগে 60 টি কলম রাখার পর সর্বোচ্চ কতটি পেন্সিল রাখতে পারবে?,50
6,"তোমার কাছে অসীম সংখ্যক 1,2 এবং 3 টাকার নোট রয়েছে। তোমাকে 12 টাকা মূল্যের একটি কলম কিনতে হবে। সেই নোটগুলি ব্যবহার করে ঠিক 12 টাকা দিয়ে তুমি কত উপায়ে সেই কলমটি কিনতে পারবে?",19
7,প্রত্যয় 40 ও 60 দৈর্ঘ্যের দুইটি কাঠি মেঝের উপর একটি নির্দিষ্ট দূরত্বে সমান্তরাল ভাবে দাঁড় করিয়ে রাখলো। তারপর এদের প্রত্যেকটির মাথা থেকে অপরটির মধ্যবিন্দুর সাথে সুতা বেঁধে দিল। তৃতীয় একটি লাঠি এমনভাবে রাখতে চাইল যাতে সুতা দুটির ছেদবিন্দু তৃতীয় লাঠির মাথায় স্পর্শ করে। তৃতীয় লাঠির উচ্চতা কত হতে হবে?,36
8,"পায়েল ও প্রত্যয় সংখ্যার অনুক্রম নিয়ে খেলছে। তারা 3 সংখ্যাটি দিয়ে শুরু করে এবং তারপর ক্রমানুসারে পরবর্তী সংখ্যা তৈরি করতে একটি নির্দিষ্ট নিয়ম অনুসরণ করে। নিয়মটি নিম্নরূপ: পরবর্তী সংখ্যা পেতে, পূর্ববর্তী সংখ্যাটিকে 2 দ্বারা গুণ করে, তারপর 1 বিয়োগ করতে হবে। উদাহরণস্বরূপ: 3 দিয়ে শুরু, পরবর্তী সংখ্যাটি $ (3 \times 2)-1 = 5 $। অনুক্রমের 10 তম সংখ্যাটি কী?",1025
9,দুইটি তিন অঙ্কের ধনাত্মক পূর্ণসংখ্যার যোগফল 3 দ্বারা বিভাজ্য। সংখ্যা দুইটির পার্থক্য সর্বোচ্চ কত হতে পারে?,898
