,query,equation,response,m_query
0,julia played tag with 18 kids on monday . she played tag with 10 kids on tuesday . how many more kids did she play with on monday than on tuesday ?,- number0 number1,8.0,জুলিয়া সোমবার ১৮ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন। মঙ্গলবার তিনি ১০ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন। সোমবার তিনি কতজন ছেলেমেয়ের সঙ্গে আরও খেলেন তার সংখ্যা কত?
1,julia played tag with 11 kids on monday . she played tag with 12 kids on tuesday . how many more kids did she play with on tuesday than on monday ?,- number1 number0,1.0,জুলিয়া সোমবার ১১ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন। মঙ্গলবার তিনি ১২ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন। মঙ্গলবার তিনি কত জন বেশি ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন?
2,julia played tag with 5 kids on monday . she played tag with some more kids on tuesday . if she played with a total of 15 kids how many kids did she play with on tuesday ?,- number1 number0,10.0,জুলিয়া সোমবার ৫টি শিশুর সাথে ট্যাগ খেলেন। মঙ্গলবার তিনি আরও কিছু শিশুর সাথে ট্যাগ খেলেন। যদি তিনি মোট ১৫টি শিশুর সাথে ট্যাগ খেলেন তবে মঙ্গলবার তিনি কতজন শিশুর সাথে ট্যাগ খেলেন?
3,julia played tag with some kids on monday . she played tag with 14 kids on tuesday . if she played with a total of 16 kids how many kids did she play with on monday ?,- number1 number0,2.0,জুলিয়া সোমবার কিছু শিশুদের সঙ্গে ট্যাগ খেলে। মঙ্গলবার তিনি ১৪ জন শিশুদের সঙ্গে ট্যাগ খেলেন। মোট ১৬ জন শিশুর সঙ্গে খেললেন তাহলে সোমবার কতজন শিশুর সঙ্গে খেললেন?
4,julia played tag with 16 kids on monday . if she played tag with 12 more kids on monday than on tuesday how many kids did she play with on tuesday ?,- number0 number1,4.0,জুলিয়া সোমবার ১৬ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন। সোমবার রাতে সোমবার থেকে ১২ জন বেশি ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন। মঙ্গলবার তিনি কতজন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন?
5,julia played tag with 14 kids on tuesday . if she played tag with 8 more kids on monday than on tuesday how many kids did she play with on monday ?,+ number0 number1,22.0,জুলিয়া মঙ্গলবারে মঙ্গলবারের চেয়ে ৮ জন বেশি শিশুদের সঙ্গে ট্যাগ খেলেছিল। মঙ্গলবারে তিনি ১৪ জন শিশুদের সঙ্গে ট্যাগ খেলেছিলেন। মঙ্গলবারে তিনি কত জন শিশুদের সঙ্গে ট্যাগ খেলেছিলেন?
6,julia played tag with 17 kids on monday 15 kids on tuesday and 2 kids on wednesday . how many kids did she play with altogether ?,+ + number0 number1 number2,34.0,"জুলিয়া সোমবারে ১৭ জন শিশুদের সঙ্গে ট্যাগ খেলেন, মঙ্গলবারে ১৫ জন শিশুদের সঙ্গে খেলেন এবং বুধবারে ২ জন শিশুদের সঙ্গে খেলেন। সর্বমোট কতজন শিশুর সঙ্গে খেলেন জুলিয়া?"
7,julia played tag with 15 kids on monday 18 kids on tuesday and 97 kids on wednesday . how many kids did she play with on monday and tuesday ?,+ number0 number1,33.0,"জুলিয়া সোমবার ১৫ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন, মঙ্গলবার ১৮ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন এবং বুধবার ৯৭ জন ছেলেমেয়ের সঙ্গে ট্যাগ খেলেন। সোমবার এবং মঙ্গলবার কতজন ছেলেমেয়ের সঙ্গে খেলেন?"
8,julia played tag with 5 kids on monday 9 kids on tuesday and 15 kids on wednesday . how many kids did she play with on monday and wednesday ?,+ number0 number2,20.0,জুলিয়া সোমবারে ৫ জন শিশুর সাথে ট্যাগ খেলেন এবং বুধবারে ১৫ জন শিশুর সাথে খেলেন। সোমবার এবং বুধবারে তিনি কতজন শিশুর সাথে খেলেন?
9,julia played tag with 2 kids on monday 14 kids on tuesday and 16 kids on wednesday . how many kids did she play with on tuesday and wednesday ?,+ number1 number2,30.0,"জুলিয়া সোমবারে ২ জন শিশুর সাথে ট্যাগ খেলেন, মঙ্গলবারে ১৪ জন শিশুর সাথে খেলেন এবং বুধবারে ১৬ জন শিশুর সাথে খেলেন। মঙ্গলবার এবং বুধবার কতজন শিশুর সাথে খেলেন?"
